uuid,title,handle,research_data_creators,lead_chief_investigators,last_modified,withdrawn,type,date_available,year_issued,date_accessioned,rights,access_rights,doi,external_doi,faculty,school,for_codes,keywords,data_volume_bytes_orig,num_files_orig
52c07a1d-842e-460c-a893-946bfb555290,2000 Male Out Survey Data,1959.4/004_192,"Kippax, Susan","Holt, Martin",2022-09-27T11:16:24.018+00:00,False,Dataset,2021-11-26T10:32:41Z,2011,2021-11-26T10:32:41Z,CC-BY-NC-ND,metadata only access,https://doi.org/10.26190/unsworks/1312,NO FIELD,Arts Design & Architecture,Centre for Social Research in Health|Social Policy Research Centre,111799 Public Health and Health Services not elsewhere classified|110309 Infectious Diseases,NO FIELD,0,0
ba86cbc9-b2ae-4dcb-9b39-8b6bdc7117ee,The 3D Project Data,1959.4/004_6,"Treloar, Carla","Hopwood, Max",2022-09-27T11:15:29.344+00:00,False,Dataset,2021-11-26T10:33:20Z,2011,2021-11-26T10:33:20Z,CC-BY-NC-ND,metadata only access,https://doi.org/10.26190/unsworks/1354,NO FIELD,Arts Design & Architecture,Centre for Social Research in Health|Centre for Social Research in Health,110324 Venereology|110309 Infectious Diseases|111799 Public Health and Health Services not elsewhere classified|111712 Health Promotion,Hepatitis C|Disclosure|Discrimination|Diagnosis|Information sources|Treatments|Health services,0,0
ed818d57-c2c3-48ec-bc29-d0ab0857968e,"A Double-Blinded, Randomised, Placebo-Controlled Trial of Antibiotic Prophylaxis in Elective Non-Hysterectomy Laparoscopic Surgery for Benign Gynaecological Conditions",1959.4/100032,"Lim, Claire|Abbott, Jason|Roydhouse, Stephanie|McCormack, Lalla|Deans, Rebecca|Nesbitt-Hawes, Erin",NO FIELD,2024-05-08T14:17:48.067+00:00,False,Dataset,2022-01-19T03:20:52Z,2022,2022-01-19T03:20:52Z,CC-BY-NC,open access,https://doi.org/10.26190/unsworks/1632,NO FIELD,Medicine & Health,School of Women's & Children's Health|School of Women's & Children's Health|School of Women's & Children's Health|School of Women's & Children's Health|School of Women's & Children's Health|School of Women's & Children's Health,321502 Obstetrics and gynaecology|3207 Medical microbiology,minimally invasive surgery|pelvic surgery|gynaecology|postoperative infections|surgical prophylaxis,59743,2
74c066c4-97d3-4265-a2ab-41a0f4aad78d,A free-running Regional Ocean Modelling System simulation that resolves the M2 surface and internal tides and the varying sub-tidal circulation in the Philippine Sea for 2010,1959.4/100215,"Kerry, Colette",NO FIELD,2022-09-27T11:15:58.668+00:00,False,Dataset,2022-04-08T05:00:15Z,2022,2022-04-08T05:00:15Z,CC-BY-NC-SA,open access,https://doi.org/10.26190/unsworks/23905,NO FIELD,Science,School of Mathematics & Statistics,370803 Physical oceanography,ROMS|Internal tides|Mesoscale|Philippine Sea|SCS|Luzon Strait,3045738779,2
623ffba7-ea1d-431e-8c83-a79bcceea3b8,"A high-resolution, 1-year suite of 4D-Var OSSEs exploring the impact of XBT observations on state estimates of the East Australian Current",1959.4/100733,"Gwyther, David|Roughan, Moninya|Kerry, Colette|Keating, Shane","Roughan, Moninya",2024-02-27T14:29:06.521+00:00,False,Dataset,2022-11-01T02:46:11Z,2022,2022-11-01T02:46:11Z,CC-BY,open access,https://doi.org/10.26190/unsworks/24440,NO FIELD,Science,"School of Biological, Earth & Environmental Sciences|School of Mathematics & Statistics|School of Biological, Earth & Environmental Sciences|School of Biological, Earth & Environmental Sciences",370803 Physical oceanography,East Australian Current|Regional Ocean Modelling System (ROMS)|Data Assimilation|Oceanography,6933904989,5
2b23b126-32c1-4f8e-a434-83dc031290f4,"A high-resolution, 1-year, suite of 4D-Var Observing System Simulation Experiments of the East Australian Current System using the Regional Ocean Modeling System",1959.4/100439,"Gwyther, David|Kerry, Colette|Roughan, Moninya|Keating, Shane","Roughan, Moninya",2024-02-27T14:29:06.423+00:00,False,Dataset,2022-07-03T23:54:18Z,2022,2022-07-03T23:54:18Z,CC-BY,open access,https://doi.org/10.26190/unsworks/24146,NO FIELD,Science,"School of Biological, Earth & Environmental Sciences|School of Mathematics & Statistics|School of Biological, Earth & Environmental Sciences|School of Biological, Earth & Environmental Sciences",370803 Physical oceanography,East Australian Current|Regional Ocean Modelling System (ROMS)|Data Assimilation|Oceanography,3929654793,2
564380e3-8f87-40a9-98c6-f14e9dc61ec8,ACORN: Arthroplasty Clinical Outcomes Registry National,1959.4/resource/collection/resdatac_1027/1,"Harris, Ian|Churches, Timothy|Naylor, Justine",NO FIELD,2023-06-20T09:33:30.216+00:00,False,Dataset,2021-11-26T09:44:04Z,2020,2021-11-26T09:44:04Z,CC-BY,open access,https://doi.org/10.26190/5ee17b8708b7e,NO FIELD,Medicine & Health,Clinical School South West Sydney Area Health Service|Clinical School South West Sydney Area Health Service|Clinical School South West Sydney Area Health Service,110314 Orthopaedics,arthroplasty|joint replacement|patient-reported outcomes,5822875,2
c0835928-84db-4aff-b482-4b270c8c36fd,Acoustic Loads on Hypersonic Engines,1959.4/101218,"Doolan, Con|Moreau, Danielle|Awasthi, Manuj|McCreton, Sean|Wills, Angus|Zhang, Ziao","Doolan, Con",2024-02-27T14:29:52.075+00:00,False,Dataset,2023-05-17T07:37:14Z,2023,2023-05-17T07:37:14Z,CC-BY,metadata only access,https://doi.org/10.26190/unsworks/24925,NO FIELD,Engineering|Other UNSW,School of Mechanical and Manufacturing Engineering|School of Mechanical and Manufacturing Engineering|School of Mechanical and Manufacturing Engineering|School of Mechanical and Manufacturing Engineering|School of Mechanical and Manufacturing Engineering,401201 Aerodynamics (excl. hypersonic aerodynamics)|400106 Hypersonic propulsion and hypersonic aerothermodynamics|401213 Turbulent flows|401299 Fluid mechanics and thermal engineering not elsewhere classified,supersonic combustion ramjets|hypersonic vehicles,0,0
260744dc-83dc-4939-b4a9-525d8e39df2b,Adelaide Gay Community Periodic Survey Data,1959.4/004_115,"Holt, Martin","Holt, Martin",2024-02-27T14:29:10.678+00:00,False,Dataset,2021-11-26T10:32:02Z,2011,2021-11-26T10:32:02Z,NO FIELD,metadata only access,https://doi.org/10.26190/unsworks/1277,NO FIELD,Arts Design & Architecture,Centre for Social Research in Health,111799 Public Health and Health Services not elsewhere classified|110309 Infectious Diseases|111712 Health Promotion|110324 Venereology,Gay men|Drug use|HIV testing|Health|HIV|Gay community|HIV status|Sexual partners|Sexual practices,0,0
2d48a344-bcf0-4325-9be4-c206989fd169,Ageing Effects of Microfiltration Membranes using Break Extension Analysis,1959.4/004_365,"Leslie, Greg","Leslie, Greg",2022-09-27T11:19:18.313+00:00,False,Dataset,2021-11-26T10:32:52Z,2013,2021-11-26T10:32:52Z,CC-BY-NC-ND,metadata only access,https://doi.org/10.26190/unsworks/1324,NO FIELD,Engineering,School of Chemical Engineering|School of Chemical Engineering,090404 Membrane and Separation Technologies,Hollow fibre|Microfiltration|Breaking strength analysis,0,0
